img_ urls,titles,ratings,authors,details
https://img3.doubanio.com/view/subject/s/public/s33650503.jpg,戴上手套擦泪,评价人数不足,[瑞典]乔纳斯·嘉德尔/敦煌文艺出版社/2020-7,雪夜、表白、初吻。男孩们手牵着手继续走着，一切就此改变。
https://img3.doubanio.com/view/subject/s/public/s33678102.jpg,上帝之子,评价人数不足,[美]科马克·麦卡锡/河南文艺出版社/2020-7,一场大火之后，巴拉德过上了穴居生活，从现代文明中一步步倒着退回荒野，退到世界的边缘。他失去房子，失去名誉，失去社会联结，直至失去生命。
https://img3.doubanio.com/view/subject/s/public/s33673382.jpg,地球之种1：播种者寓言,,[美]奥克塔维娅·E.巴特勒/天地出版社/2020-8-1,2025年一个夜晚，15岁的黑人女孩劳伦仰望星空，脑中出现一个词：地球之种。此时，地球自然环境急剧恶化，美国社会和经济危机四伏，新奴隶制度悄然兴起……
https://img3.doubanio.com/view/subject/s/public/s33643223.jpg,旁观者,8.7,[比]本·吉塞曼斯/后浪丨贵州人民出版社/2020-7,一个中年男子与美术馆的故事，一首彩铅绘就的存在主义图像诗，一组值得所有喜欢独自逛展馆的人细赏的画卷。
https://img3.doubanio.com/view/subject/s/public/s33662771.jpg,间谍的遗产,9.2,[英]约翰·勒卡雷/上海人民出版社/2020-7-10,退役间谍吉勒姆在法国过着安逸的隐居生活，但一封密函把他紧急召回伦敦。吉勒姆发现，这次他需要面对的不是敌人，而是昔日同僚的后裔。
https://img1.doubanio.com/view/subject/s/public/s33664568.jpg,满月,,[法]克里斯多夫·夏布特/后浪丨湖南美术出版社/2020-8,收录法国漫画家夏布特早期发表的四部短篇漫画，均围绕森林、月夜、巫术、解密等元素展开，充满黑色幽默和悬疑色彩。
https://img3.doubanio.com/view/subject/s/public/s33652573.jpg,突然，响起一阵敲门声,7.8,[以色列]埃特加·凯雷特/浦睿文化·湖南文艺出版社/2020-7,埃特加·凯雷特代表作。一个惯于说谎的人有一天竟然遇到了说谎时虚构的人物；一个女孩在男友的嘴里发现一个拉链，拉开后竟出现一个完全不同的男人......
https://img3.doubanio.com/view/subject/s/public/s33673901.jpg,难言之隐,8.2,[英]戴维·洛奇/新星出版社/2020-6,一位过气的小说家和如今已是成功编剧的大学同学冒着泄露家庭隐私的风险，一意报复文风尖酸刻薄的女记者。小说讽刺了媒体与名人文化之间的贪婪关系。
https://img3.doubanio.com/view/subject/s/public/s33668530.jpg,绅士肖像,8.9,[英]毛姆/理想国丨广西师范大学出版社/2020-7,理想国版《毛姆短篇小说全集》第四卷
https://img1.doubanio.com/view/subject/s/public/s33672769.jpg,无辜,9.0,[英]佩内洛普·菲茨杰拉德/中信出版集团/2020-7,里多尔菲家族都是小矮人。为了使女儿相信这样的身高才是正常的，他们在庄园里只雇用小矮人，还为她买了一个矮人同伴——但是后来同伴突然长高了。怎么办？
https://img1.doubanio.com/view/subject/s/public/s33691387.jpg,鳄鱼街,,(波)布鲁诺·舒尔茨/广西师范大学出版社/2020-6,本书收录了布鲁诺·舒尔茨存世的全部虚构作品：两部短篇小说集《鳄鱼街》《用沙漏做招牌的疗养院》，以及集外的3个短篇，构成了一个个既彼此独立又有内在联系的故事。
https://img1.doubanio.com/view/subject/s/public/s33658179.jpg,异化引擎,7.7,陈楸帆/花城出版社/2020-6,陈楸帆近年创作的科幻中短篇小说集，合称为“异化引擎档案”。从不同个体到集体的切片视角，记录下神秘的未知力量“异化引擎”对人类文明所带来的冲击。
https://img3.doubanio.com/view/subject/s/public/s33680423.jpg,南货店,9.0,张忌/中信出版集团/2020-7,小说用干净素朴的南方方言，以南货店为背景，勾勒出20世纪70年代末到90年代初极具烟火气的江南城镇生活图景，是乡愁般的“古典中国叙事”在当代的回响。
https://img3.doubanio.com/view/subject/s/public/s33661872.jpg,画的背面,,[法]埃尔韦·里谢/[法]维诺克·德沃/后浪丨湖南美术出版社/2020-8,一幅没有署名的油画，可能是大师之作，但被专家一句话贬为赝品。主人公跨越时间、地域，根据蛛丝马迹一步步逼近一个多世纪前的真相……
https://img3.doubanio.com/view/subject/s/public/s33663381.jpg,夜行货车,9.3,陈映真/九州出版社/2020-6,收录陈映真创作于1967-1982年间的6部中短篇小说，聚焦两次世界大战后台湾饱食、腐败、奢侈、炫丽、幸福的“后街”，反思环境的崩坏、人的伤痕、文化的失据。
https://img3.doubanio.com/view/subject/s/public/s33659040.jpg,毛毯猫,7.8,[日]重松清/浙江文艺出版社/2020-7,直木奖得主重松清创作的“萌猫”物语。讲述了7只裹着毛毯的猫咪，在3天2夜的租用期中，如何融入租猫者的人生和家庭，通过人与猫的相处，展现了人生困境和希望。
https://img9.doubanio.com/view/subject/s/public/s33692064.jpg,昭和六十四年绑架案,8.5,[日]横山秀夫/人民文学出版社/2020-7,独生女离家出走，使三上在警局东山再起的计划受阻。警察厅长官为了昭和六十四年的绑架案来到D县视察，暗藏高层人事争斗……如此内外交迫，三上该如何应对？
https://img9.doubanio.com/view/subject/s/public/s33662774.jpg,找不到工作的一年,8.4,[日]吉田修一/上海人民出版社/2020-7,大学毕业没能顺利找到工作，二十四岁的横道世之介依旧靠打零工和玩小钢珠度日。他的单纯、善良和发自内心的对生活的爱，继续感染所有与他相遇的人。
https://img9.doubanio.com/view/subject/s/public/s33647914.jpg,凡人,8.5,[美]菲利普·罗斯/上海译文出版社/2020-6,从童年初次见证死亡，到成年后的事业有成、几次婚姻家庭的聚散，再到步入老年看着同辈凋零、自己屡遭病变，孤独和无力成了凡人生活的主题。
https://img1.doubanio.com/view/subject/s/public/s33680549.jpg,怪奇幻想俱乐部,评价人数不足,[日]谷崎润一郎/广西师范大学出版社/2020-7,收录谷崎润一郎从1916年至1919年间发表的五篇短篇小说
https://img3.doubanio.com/view/subject/s/public/s33680613.jpg,土星之环,,[德]温弗里德·塞巴尔德/广西师范大学出版社/2020-8,一段穿越英格兰东海岸的徒步旅行以及旅途中的所思所感。涉及文学、艺术、历史等多个领域，集体与个人回忆交织，图片与文本相辅，梦境与现实共生。
https://img3.doubanio.com/view/subject/s/public/s33679040.jpg,醉钢琴与地下蓝调,8.5,[美]汤姆·威兹/广西师范大学出版社/2020-6,以汤姆·威兹发行过的十八张唱片为顺序，收入其四十多年来接受电台、报纸和杂志的逾五十篇采访，全面而细致地展示了这位传奇音乐家人格和音乐的进化史。
https://img1.doubanio.com/view/subject/s/public/s33658199.jpg,寻找《局外人》,9.2,[美]爱丽丝·卡普兰/新星出版社/2020-6,《局外人》如何写作、出版，又如何撼动世界，影响一代代读者？本书以《局外人》的生命历程为主线，讲述一个饱含勇气、美德与爱的冒险故事。
https://img9.doubanio.com/view/subject/s/public/s33674916.jpg,通向巴塔耶,8.8,张生/南京大学出版社/2020-7-7,本书从巴塔耶思想的三个核心概念“耗尽”“色情”与“至尊性”出发，深入研究他在普遍经济学、政治哲学、人类学、文艺等方面的思想，梳理出其基本架构及内在关联。
https://img3.doubanio.com/view/subject/s/public/s33670892.jpg,什么是日常统治史,9.4,侯旭东/生活·读书·新知三联书店/2020-7,利维坦诞生后，人的命运便与国家纠缠难分，认识国史即成为认识民史的一部分。本书探索关系视角下如何研究日常统治，激发史学想象力。
https://img9.doubanio.com/view/subject/s/public/s33660425.jpg,煤气灯效应,7.7,[美]罗宾·斯特恩/中信出版集团/2020-6,“煤气灯效应”一词来源于1944的电影《煤气灯下》，讲述了丈夫安东尼不断对妻子宝拉进行精神操控从而使其发疯，最终霸占其财产的故事。
https://img9.doubanio.com/view/subject/s/public/s33683876.jpg,把自己作为方法,9.3,项飙/吴琦/上海文艺出版社/2020-7-1,=从项飙教授的个人经验切入，追索一系列超越自我的问题，其中涉及对中国社会半个世纪以来的变化、知识共同体、全球化与民粹主义、人类学方法论等题目的思考。
https://img3.doubanio.com/view/subject/s/public/s33678163.jpg,俄国文学史,评价人数不足,(俄罗斯)德·斯·米尔斯基/商务印书馆/2020-7,本书被誉为关于俄国文学最好的一本通史。自古代俄国文学（11—17世纪）始，经古典主义时期、现实主义时代、美学新思潮、象征派兴起，至1921年小说复兴。
https://img3.doubanio.com/view/subject/s/public/s33679102.jpg,现代艺术史（插图第六版）,,[美]H.H.阿纳森/[美]伊丽莎白·C.曼斯菲尔德/后浪丨湖南美术出版社/2020-8,一部经典的艺术断代史著作，聚焦于19世纪中叶以来现代艺术史的历史及其在当代艺术中的回响。第六版全面修订，更新了史料、拓展了图片，容纳了艺术史研究的诸多新方向。
https://img3.doubanio.com/view/subject/s/public/s33670851.jpg,女性的时刻,8.8,[美]梅琳达·盖茨/北京联合出版公司/2020-7,在比尔及梅琳达盖茨基金会联席主席梅琳达·盖茨讲述她所目睹的无数底层女性的困境及抗争；那些致力于改善女性生存环境的理想主义者，正如何改变世界。
https://img1.doubanio.com/view/subject/s/public/s33680428.jpg,多极亚洲中的唐朝,8.3,[加]王贞平/后浪|上海文化出版社/2020-6-1,唐代外交的实质是什么？强敌环伺下，大唐如何韬光养晦，迅速崛起？灭突厥、征高句丽、平西域，强大的军事实力与明智的外交策略如何奠定大唐盛世？
https://img1.doubanio.com/view/subject/s/public/s33642499.jpg,消逝世界漫游指南,9.5,【英】道格拉斯·亚当斯/马克·卡沃丁/北京联合出版公司/2020-6-1,道格拉斯•亚当斯的科普著作。以富有想象力的的彩虹棱镜，折射出科学、幽默和洞见的光芒。每一页都令人开怀大笑。
https://img1.doubanio.com/view/subject/s/public/s33660587.jpg,理想的工作间,8.4,【韩】金霞娜/北京日报出版社/2020-7-1,本书探访了32间面积不足40平方米、装修费用低廉却独具个性的“小而美”工作室，介绍了它们的设计风格、装修过程及理念，也讲述了这些工作室主人们自己的故事。
https://img3.doubanio.com/view/subject/s/public/s33659572.jpg,一切随缘,8.1,[日]树木希林/人民文学出版社/2020-7,本书是树木希林在面对疾病、家庭、爱情、工作时的感悟，她尽自己最大可能，活出了独一无二的人生：“为生活而竭尽全力的人，大多会有精彩的人生。”
https://img9.doubanio.com/view/subject/s/public/s33666155.jpg,纵身入山海,9.2,库索/中信出版集团/2020-7,借助山海、借助作者库索身为外来者更为新奇和友善的视角，我们将回到那些自然而然与人事物、与无边光景相处的日子。
https://img3.doubanio.com/view/subject/s/public/s33659793.jpg,普林斯顿文学课,9.0,（秘)马里奥•巴尔加斯•略萨著/人民文学出版社/2020-7,本书记录略萨在普林斯顿开设一个学期的文学课。以专题形式呈现，既有助于理解书中提及的小说及其历史背景，更揭示文学和历史之间的细微差别和复杂关系。
https://img9.doubanio.com/view/subject/s/public/s33672756.jpg,纸神,9.2,[日]大平一枝/[日]小林纪雄/世纪文景/上海人民出版社/2020-6-30,作者抱着“纸是否会消失”的疑问，深入探访相关行业，写下与纸有关的人生百味。全书由六种特种纸打造，既是内容精良的图书，又是视觉与触感兼美的艺术品。
https://img1.doubanio.com/view/subject/s/public/s33668497.jpg,切尔诺贝利,,[美]沙希利·浦洛基（SerhiiPlokhy）/广东人民出版社/2020-7-15,关于切尔诺贝利核灾难及其政治影响的权威史学作品，兼具史学家的历史洞见和文学家的叙事笔触。哈佛大学乌克兰史讲席教授沙希利·浦洛基作品。
https://img9.doubanio.com/view/subject/s/public/s33650464.jpg,梭罗传,9.2,[美]罗伯特·D.理查德森/浙江文艺出版社/2020-7,解读梭罗私人日记与创作手稿，回溯十九世纪美国自然主义哲学轨迹，还原隐秘而伟大的心灵风景，追寻物质简朴与精神丰盈的诗意人生。
https://img9.doubanio.com/view/subject/s/public/s33663016.jpg,显微镜下的成都,8.7,王笛/上海人民出版社/2020-7,全书以四川地区四个特殊的历史文化现象街头、茶馆、袍哥、麻将作为具体个案，将目光投注在小人物的身上，还原了四川，尤其是成都地区的日常生活记忆。
